Ratings,Reviews
5,I liked the phone it's awesome performance is too good and battery back is absolutely good as well as it's supports fast charge after charging the mobile you can use this at least 2days continuously camera is perfect for taking pictures best mobile I can refer and it's a budget phone which we can buy easilyREAD MORE
3,Display is looking good Battery backup is avarage its work up 6 hrs 100 to 30 % charaging time also not expected like this much time taking long time to charge poco announced 67 watts charger but its equal time taking with 33 watts charger meawhile its a 33 watts charging support About performance is ok Sound dolby atmos support its a good thing any way mobile is avarage not too good its ok at this price in this movementREAD MORE
5,1. Received phone within 48 hours.2. Delivery Associate was a really NICE guy.3. Opened and showed all contents of box as promised by Flipkart.4. My first ever phone which I ordered online. HAPPY !5. Overall experience EXCELLENT !6. HAPPY WITH THE PRODUCT.7. Thank-You Flipkart !READ MORE
5,"All rounder smartphone and decent performance but you cant expect that kind of camera performance of poco x3. Still great option in this price segment as 67 watt charger in the box, super amoled display., and Snapdragon 695 5g processor.READ MORE"
4,Mobile using very smooth and easy display and camera very good. But over all i am not using the mobile. So I can not reply another details. Specification is good.snapdragon is 695 can give more and 740 snapdragon satisfy. Over all mobile goodREAD MORE
5,Im having a great experience with this better charging progress and Long life battery and a amazing camera performance i personally loved this mobile phone and also a best gaming experience i hope u also like this phone #poco x 4 pro 5gREAD MORE
5,1.Fast delivery by Flipkart2.Delivery personal's behaviour was very good and decent 3.Lookwise awesome in laser blue 💙4. Display quality is awesome.🥰5. Camera is also good but for clear picture we have to use 64 mp camera only which gives me a dslr photography like feeling 6. Quick charging and battery backup is also good after use for 3 to 4 hours my battery consumption is as follows: 92% to 84% after use for 4 hoursREAD MORE
3,"Released with less specification than expected like instead of 108MP, its with 64MP.Processor could have been on higher side instead of Snapdragon 695, it could have been 7xx, 8xx.Pros:Camera quality is still good in light, not great in dark though but fine enough.Due to 120HZ refresh rate, touch responses are pretty quick.Lookwise premium look.Feels somewhat bulky and heavy a bit.Charging is faster due to high Watt charger support, with heavy usage full charging lasts for more than a...READ MORE"
5,Nice Overall phone for the price... honestly no complaints if only to pick and choose at this price u just have to compromise at camera (mostly video) a bit. Otherwise it works as advertised like smooth 120hz amoled is really nice.....Found next to no bloatware in the OS and works very fluidREAD MORE
3,"A good phone overall.I'm not fully satisfied by my phone's performance. Android 11 is not fully optimised in this smartphone coming over SD695 5G.You can literally feel the frame drop in system software. Also in day to day task. But in terms of gaming., Phone is good, gives 40fps average in all high & mighty games like BGMI. 30FPS in Genshin impact.Low heat in 1 hr gameplay.Battery backup is fine.Software optimisation isn't very well.READ MORE"
4,"Everything is good, satisfied with camera, performance. Only I feel about display it has amoled display but Colors reproduction are not as vibrant as i expected. Still Display is good enough as it has deep black , viewing angles are good brightness is really good.It's good product for this price range.👍READ MORE"
5,"Using Poco X4 Pro since April 22, & I would say that it's a great phone at this price segment. Overall a Good Camera. Great Battery Backup ( I often charge it once in 24 hrs, I am not a heavy user or gamer) Fastest Charging with 67Watt Fast ChargerDisplay quality is awesomeSound quality is again awesome.READ MORE"
5,"Best Phone Under 20k , It Justify its price. Camera is very good. Performance is awesome👍. Display is excellent 120hz . No lag, No jitter. Can trust poco because I used two other smartphone of this brand. Just Go for it.READ MORE"
3,"This phone is a mid-range performance based device, with great display, good speakers, 3.5 mm audio jack (a necessity for any audiophile), and good battery backup.The camera module is just pathetic to say the least.I'm not into gaming so won't be discussing gaming in this review at all. Performance wise, multitasking is great, aggressive RAM management can be turned on and off for apps, so, one can keep apps in volatile memory according to one's needs. Speakers and 3.5 mm audio jack are g...READ MORE"
5,Nice display. Long battery life with fast charging.  64MP camera giving superb photos and videos. Superb product at this price range with stereo speakers. I hope poco  will give more advanced featured phone with reasonable price in future. Android 12 should follow early to keep it up to dateREAD MORE
4,Excellent product for this price but I have some call drop related problem on this phone. Also it is bulky for daily use.Battery performance with fast charging is excellent camera is also decent but videography is not upto mark also MIUI experience is good with no junk apps and less bugs.READ MORE
5,Go for this without much thought. 5G phone with amoled display and 67W fast charger with so much good expandabe RAM. Fully satisfied with my phone.READ MORE
5,Very good phone and got it for 13k during sale for the base variant . Display and refresh rate is good in the phone .performance is as expected.Overall a value for money phoneREAD MORE
3,"Experience whith this phone is good camera is good 👍 smooth performance , charging quick 100 in about 45 min which can take 1  full day pn moderat uses  , display is good in day light you can use easily as brightness is very good,  speake is well balanced on both side and sound is loud,  look is premium as back panel is glass panel, drawback max recording is full hd no 2k Or 4k,  wide angle ok macro ok portrait sometime not preforming well, I bought this one 6gb 128 for 19k but now it is 16k...READ MORE"
5,"Nice phone in this price range. Battery, charger, display, performance all are best in this segment. Outdoor photo is also good. It's best phone under 20k.READ MORE"
3,"Display is not vibrant I can see sand like pixels. Camera quality is very poor, really very very poor. MiUi lags many times for example 1. While installing app, screen blinks sometimes 2. Scroll up scroll down is not smooth like I'm using 6gb ram (+2gb virtual ram) 3. Typing sync mismatch. The biggest problem I am facing daily are mic that does not work while loud speaker on and the Proximity sensor, that stopped working after just 15 to 20days.Battery backup is ok for me as I don't p...READ MORE"
4,I like it it performance is descent and camera is pretty good found some amazing features in camera . Charging is duper fast and battery life is good . Its not heat i like it❣️.READ MORE
4,My honest review after 10 days => Back design is awesome but camera back is bulky=> Display is very nice => good processor but not much good for gamers if you are gamer don't buy this one => Camera is good but less than my expectations=> Case quality is brilliant => Other features are also nice => charger is very fast (67W) as In starting it can charge phone fully around 40min but after a week of usage it may take 1hour as other smartphone do Overall:If you are gamer than don't buy t...READ MORE
4,Mobile is good. Pros:1. Good performance2. No lag while playing COD3. Good battery backup4. Sound is averageCons:1. Average charging time is 70 minutes. It is not 40 minutes. I am happy with 70 minutes as well as my previous mobile was talking more than 2 hours to charge. 2. Camara quality is not up to the mark. This is also fine for me as I am not a camera lover. 3. Call vibration should be better. You will not feel incoming call vibration if you put this phone in your pocket.As ...READ MORE
5,"The phone is great. Its a great value option for people who dont expect high end performance and gaming. Gives to decent yet powerful experience in performing the regular tasks. Camera could be better. Not an Hardware issue I guess, just the POCO team could provide with some OTA updates. Screen and speakers are a good combo. Great for multimedia consumption. In short: Good for the price. In 2022 the mid range market is full of expensive yet mediocre devices, where POCO tries to do a balancing...READ MORE"
4,"I was samsung user from last 10 years. Switched into poco for the first time. Samsung cameras has less megapixel then poco but capture the best picture, poco didn't perform well as per specifications. Samsung 5000 mh battery works for more than 1 day, poco works for only 1 Day. Rest is all ok. But not upto the mark.READ MORE"
4,"I'm using this phone from past 15days. This is really a good phone. It is not for someone who likes camera too much, but a multimedia consumer this is an excellent package. Battery backup is very good with fast chargingIt did very well even in my heavy usage.READ MORE"
5,1. Good display and refresh rate.2. Sound is moderate.3. The camera quality is good.4. Worth for money.Over all a good phone.READ MORE
5,"Best value for money phone. Display is best at this price range. Stereo speakers are giving best audio effect. Theme feels more like stock Android, so that is also good part. Battery is also long lasting.READ MORE"
5,GoodgoodREAD MORE
5,Camera is disappointingRest features and feel are goodREAD MORE
5,Awesome 😍READ MORE
4,Average phone..READ MORE
5,Very Good looking and very good 5g mobile this price range👌👌😍😘READ MORE
5,One of the best balance phone in the marketReally I am very happy after purchase this phoneThanks flipkart for fast deliveryREAD MORE
4,At indoor and light area camera performance is poor but in outdoor it's marvellous. Selfie camera is not upto the mark but get better with the updates. Bettery backup is very goodREAD MORE
5,"Build quality is very good, and at this price it is value for your money. oneplus Nord ce lite does not stand in front of poco x4 proREAD MORE"
3,Mobile design superb💥Front camera quality below average🤧Miui 13🤧Phone quality is good👍🏻Display quality awsome 💥Good device for normal usage🙂READ MORE
4,"Camera is not good , other thn that everything is nice , in this price rangeREAD MORE"
5,all is best highly recommend  to buy thank pocoREAD MORE
4,Best phone Under 18 k display is very bright overall is awesome 🤩 phone 📱READ MORE
5,Nice productREAD MORE
5,amazing phone nice cameraREAD MORE
3,Good Phone value for money ❤READ MORE
5,Great value product and delivery was fast and really good.READ MORE
5,Super duper quality back and display and battery all are well advanced suuuuper duuuuperREAD MORE
3,A good smartphone for everyday use but you have to compromise in camera segment. primary camera in this range was expected to be much better. lack of 4k and 60fps support is biggest downside in this range. no night mode in ultrawide and front camera  front camera was very noisy even in day light. display was good enough and bright. battery backup was superb. poco x4 is not for camera usersREAD MORE
5,64MP Camera Feels like DSLR695SD Processor is smooth in gamingPremium looks from glass backValue for moneyReally liked this product😇❤READ MORE
5,It is a good phone. It is a velue for money phone. Camera quality should be improved.Grate battery and multimedia experience. Impressed with it.READ MORE
4,"It's good display and body ,camera also goodREAD MORE"
5,Best phone in rangeREAD MORE
5,Excellent mobile in this price Recharge..READ MORE
4,This phone is very good But the cameras need to be a little incremental. Sound quality is very good.  Battery is good and it charges very quickly.Cameras Photos does not crack when zoomed.READ MORE
5,Loved it.Feels more premium than poco F1 or X3 for the price.Good value for money and amoled display is top notch.good battery backup on moderate surfing/social media/videos.READ MORE
5,A fabulous performance at lowest prizeREAD MORE
5,Best phone in rangeREAD MORE
5,Loved it.Feels more premium than poco F1 or X3 for the price.Good value for money and amoled display is top notch.good battery backup on moderate surfing/social media/videos.READ MORE
5,"Poco x4 pro battery is good, and it's display is good, and the camera is fineREAD MORE"
4,Dont think to much just buy it. Camera is awsmeREAD MORE
5,It is a good phone. It is a velue for money phone. Camera quality should be improved.Grate battery and multimedia experience. Impressed with it.READ MORE
5,Awesome Mobile under 20k. Value of money 💸Rear camera 📷😘Front camera 📷 little bit 🥴 but not bad😀Poco sticker near camera 📷🥸🥸 i don't like this type highlighted stickerREAD MORE
4,Thank u FilipkartREAD MORE
5,POCO x4 pro 5G camera is the best👍💯READ MORE
4,GoodREAD MORE
5,Amazing displayREAD MORE
5,Very good sound quality is very good 👌👌👌👌👍👍READ MORE
3,Poco X4 Pro 5g is a good phone But the Only thing in this phone is bad is camera. In photos there is  very nice details but it pick too much noise . I hope brand will fix this this very soon through update...READ MORE
3,"The display and body is really good, the primary camera is not good as expected. Also network connectivity is worst, I'm not able to get even 2 signal lines for JIO and VI networks.READ MORE"
3,Nyc phone I bought for my dadREAD MORE
4,I got it today. Overall everything is good and I really satisfied with this product .READ MORE
5,The Best MobileREAD MORE
5,Good performance.READ MORE
5,Amazing.READ MORE
3,Nice phoneREAD MORE
5,"I believe this is best phone in this segment right now, include all features:5000 mah batteryfast charging120 hz displaycamera 24refreshing designREAD MORE"
4,GoodREAD MORE
4,"I loved the look, battery performance, display, sound everything. But one negative thing is it's getting lack ignoring that everything is good. I have posted a picture which was taken in pro mode but this phone. It's simple awesome.READ MORE"
5,"Everything is good. Camera performance can be improved, But only if the company provide timely software update.READ MORE"
5,Good camera and displayREAD MORE
3,This phone looks great 👍READ MORE
3,"Please be careful, i have received the used phone. it is very disappointing from Flipkart. i requested replacement but the replacement process of flipkart is very long. i had to gift this phone so i was forced to keep it.I know Flipkart will not show this review.  Now I will never shop from Flipkart in future.READ MORE"
4,Average better phone ... only camera portion is much low ...but otherwise very goodREAD MORE
3,Waste cameraREAD MORE
3,Camera is better out doorGood quality display... And charging🔋⚡ performance is good👍READ MORE
4,Nice Display👍Nice Battery backup👍Nice Fast charging 👍Nice stereo speaker 👍Nice good looking phone 👍Poor Battery Backup 😡🤬👎Very bad Quality Camera 😡🤬👎READ MORE
5,Very cool mobileREAD MORE
5,"Amazing smartphone in this range, just bought it, no issues till now, might use for a month for better review just buy it, you won't regretREAD MORE"
5,AwesomeREAD MORE
5,GoodREAD MORE
5,Nyc performanceREAD MORE
5,Best phone under 20kREAD MORE
5,Very goodREAD MORE
5,NiceREAD MORE
4,GoodREAD MORE
4,SuperREAD MORE
5,Nice phone best gaming and display and battery 🔋 👌 super phone in this segmentREAD MORE
5,NiceREAD MORE
5,I am using it from a month I got best experience a value for money phone battery backup and display are highlight feature camera is okay okay and 120 hz works finely without any lag and liquid cooling feature never gets phone heated 🔥READ MORE
5,camera qualityREAD MORE
4,"It is a good phone in all rounder except camera, specially indoor condition has average quality.. Superb design, Good performance and Battery Backup.READ MORE"
4,camera Is OkayDisplay Awesomebattery Too GoodBest For Normal UsesValue For MoneyNd Look Too Good Review After 1Month UsesREAD MORE
4,The back camera is amazing for daylight scenarios but the front camera needs to keep up more.Charging is a beast with 67 W charger.Overall a budget friendly smartphone.READ MORE
4,Phone is so nice bat system is ok okREAD MORE
5,Very good performance👍👍READ MORE
3,Highly recommendedREAD MORE
5,Very goodREAD MORE
5,Camera📷  Very very good👍👍 THIS PHONE📱 MY mom   giftREAD MORE
5,Major lacking in camera plz team poco update this🥲READ MORE
4,Overall GoodREAD MORE
5,Super PhoneREAD MORE
5,Best mobile for this range....But camera descent...Finally ok..READ MORE
5,just wow💥READ MORE
5,Nice Product Thanks Flipkart 😊READ MORE
5,Awesome productREAD MORE
4,"Nice phone with better performance, battery life getting 24 hr by rough use. Value for money with offers.READ MORE"
5,Best phone in this price rangeREAD MORE
5,Best phone under 20k.READ MORE
5,Nice.READ MORE
4,Good one👍READ MORE
5,"Good, writing review after 20 days.I am expected  camera to be more efficient but ok.Other than camera everything is fine.At first those who say poco mobiles are waste, iam personally saying that upto now I haven't faced any problem.Even my friend using it since 2 years,he too didn't faced any problems yet.READ MORE"
5,"Awesome Phone, value for the MoneyREAD MORE"
4,GoodREAD MORE
5,Very good performance very fast working  camera is nice very  high sensitivity  for gamingREAD MORE
3,Some charging time is phone very hot n game play time any in coming call very lag problum my device is 6 gb ram 128READ MORE
3,1) Display- Very Good2) Camera- Not good according to price3) Performance- Very Good4) Battery- Good:Battery drain 3%in 12hours due to AMOLED display5) No Heating issue6) Sidefinger Lock unlock Sensor slow7) Weight of mobile cause difficulty for one hand use8) Sound of dual speaker- Good in medium volumeThis Review is given after 1 Month Use of Poco x4 pro 5gREAD MORE
5,Good boysREAD MORE
4,Ok productREAD MORE
5,Well have been using for two weeks now its good for this price dont expect iphone camera or one plus performance with this priceREAD MORE
5,All are good. Excellent battery performance. Bt the image quality of this phone is little bit noise and high saturation that make the picture different from the original situation. And need to more improvement in pro mode. And need more update in camera section.READ MORE
5,120hz refreshing rate AMOLED display and dual speaker6/128 Good prize good valueREAD MORE
3,"If you are keen on camera, just avoid.READ MORE"
5,"Camera is not optimal and MIUI.only hardware is good enough to perform, no software optimizationREAD MORE"
4,Look awesome smooth performanceREAD MORE
4,•Performance is Gud! •Battery is Also Good !•Fast Charging!•Nice Body•But Need To More Better by Upcoming Updates ! Nice Phone 📱READ MORE
4,"Adding a picture for the confirmation that the camera is actually good if u know how to click pictures. Of course the video recording not upto the mark, expecting a better recording with a update.battery is amazing.go for this phone.READ MORE"
5,Camera📷 ok👌Display Great👍Overall performance very good👍Satisfied😊Gaming performance is very good 👍READ MORE
4,Best phone in the segment 😊READ MORE
3,Phone in good but the battery drain is real. My mom is using and she always keeps complaining about the battery drain. Also if this phone gets heatup while charging for eg if you are charging while talking on the phone you willl notice the charging slows down tremendously.READ MORE
4,Just superb phoneNice gualityREAD MORE
5,Very nice👍 poco brandREAD MORE
3,"Under 20K nice phone, performance were good , but if you are photoholic than don't go for that bcz camera is not up to mark as given 64MP , sometimes phone were lags or battery charging time also increases ... But battery performance were good display were excellent. Battery backup also good.READ MORE"
5,"Except Camera everything is great.But Cameras (Front and Back) are a big disappointment.Dear POCO team if you're reading this please provide some updates for camera betterment.If you're not a camera person its a perfect phone, BGMI smooth (no heating issue).120 hz (makhhan).Amoled display (wow).READ MORE"
3,Call recording option is not good if any body want call recording option then this is not a good phone.READ MORE
5,Good product.. For this price. A nice balanced 20k mobREAD MORE
3,"Camera is average, Phone performance is not best.. X3pro is par better than this.. My suggestion is go for realme9. Most Disappointed thing is Camera quality.READ MORE"
3,Camera is not good😒Sound 🥳Display🙌🏻READ MORE
4,V goodREAD MORE
5,Good in performancecamera is goodCam 4.5/5Performance 5/5Display 4.3/5Battery 5/5You can see the image capture from main camera of this phone......READ MORE
3,After 1week of useing I'm writing this review. Video quality is very bad need to work on video stabilization and quality.. Photo quality is decent as you can see. Sometimes it get little hand and display quality is not so good. Not satisfied with this price 😫READ MORE
4,Good mobileREAD MORE
4,Balanced mobile. Everything else is good except the software. Camera needs some software improvements to reduce yellowish shade on images. Biggest drawback is it is still running on Android 11.READ MORE
5,This product is good but battery is is not goodREAD MORE
5,Nice product camera is decent just specially for performance and display not for camera peopleREAD MORE
5,Superb camera clarityREAD MORE
4,Not badREAD MORE
4,Average phoneREAD MORE
5,It's a nice phoneREAD MORE
3,Front camera worst forfamance.Photos shade out like VGA camera I am dispointedREAD MORE
3,"I would have given 5 star if the camera quality has been good. Very poor camera quality. They say 64MP, but, it lookslike 8MP. Otherwise it is worth the money. Build quality is top notch. Lot is options and features. Little heavy in weigh.READ MORE"
5,NiceREAD MORE
4,(1) Super Amoled Screen- ⭐⭐⭐⭐⭐(2) 5000 MAh Battery- ⭐⭐⭐⭐⭐(3) Dolby Speaker- ⭐⭐⭐⭐⭐(4) 64+8+2 Camera- ⭐⭐⭐(5) Snapdragon 695.Performance- ⭐⭐⭐⭐(6) Build Quality- ⭐⭐⭐⭐(7) How Happy I Am- ⭐⭐⭐⭐1/2READ MORE
4,This is mind blowing deviceREAD MORE
5,Excellent phone for this price range... If you are thinking of buying a phone under 20000 go for it without any hesitation.READ MORE
3,Camera average.. overall goodREAD MORE
4,Main draw back is the camera bumpREAD MORE
4,Bad cameraREAD MORE
4,Overall performance is goodCamera 3*Battery 5*Charger 5*Battery optimise in this processor 5*Processor is very good 5*Display 4* (amoled but sometime* not purely black ⚫  example riding mood on time. ) In hand feel 4* (havvy feeling)  But really overall in this price mobile so very good. Notice opinion _  please do not buy 6GB 64GB Ram variantREAD MORE
5,ExcellentREAD MORE
5,Very decent phone Camera is not so GoodPerformance is okDisplay is goodBattery is good and charging time alsoREAD MORE
3,Phone is just ok type not as remarkable company promised.READ MORE
3,Worst cameras ever... Camera quality very poor I don't even like the phoneREAD MORE
5,Best phoneREAD MORE
4,Value for moneyREAD MORE
5,"Let me tell u, 1st time buy poco as suggested by one of my colleague, I, m a Motorola Fan, but must say the phone surprised me with the performance, the details are after use poco for 1 month Performance - 5*Battery - awesome as I, m a heavy user battery last almost 30 hours with heavy usage. Camera -3* as camera not fullfill the price range. But overall a complete package.READ MORE"
